Порядковый номер,Район,Адрес,Количество видеокамер
1.154,Адмиралтейский район,"Большая Подьяческая улица, дом 8",17
1.155,Адмиралтейский район,"Большой Казачий переулок, дом 1/61",5
1.156,Адмиралтейский район,"Большой Казачий переулок, дом 3",1
1.157,Адмиралтейский район,"Большой Казачий переулок, дом 6",4
1.158,Адмиралтейский район,"Большой Казачий переулок, дом 7",1
1.159,Адмиралтейский район,"Большой Казачий переулок, дом 9",7
1.160,Адмиралтейский район,"Большой Казачий переулок, дом 9 (Большой Казачий переулок, дом 9, литера Г)",2
1.161,Адмиралтейский район,"Бородинская улица, дом 1/88",2
1.162,Адмиралтейский район,"Бородинская улица, дом 11",2
1.163,Адмиралтейский район,"Бородинская улица, дом 15",4
1.164,Адмиралтейский район,"Бронницкая улица, дом 15",3
1.165,Адмиралтейский район,"Бронницкая улица, дом 16",5
1.166,Адмиралтейский район,"Бронницкая улица, дом 16, литера Б",1
1.167,Адмиралтейский район,"Бронницкая улица, дом 2/70",23
1.168,Адмиралтейский район,"Бронницкая улица, дом 21",2
1.169,Адмиралтейский район,"Бронницкая улица, дом 22",3
1.170,Адмиралтейский район,"Бронницкая улица, дом 26",6
1.171,Адмиралтейский район,"Бронницкая улица, дом 27",9
1.172,Адмиралтейский район,"Бронницкая улица, дом 37",6
1.173,Адмиралтейский район,"Бумажная улица, дом 1",2
1.174,Адмиралтейский район,"Бумажная улица, дом 10",5
1.175,Адмиралтейский район,"Бумажная улица, дом 5",1
1.176,Адмиралтейский район,"Верейская улица, дом 17",2
1.177,Адмиралтейский район,"Верейская улица, дом 19",3
1.178,Адмиралтейский район,"Верейская улица, дом 20",14
1.179,Адмиралтейский район,"Верейская улица, дом 22-24",3
1.180,Адмиралтейский район,"Верейская улица, дом 22-24, литера Б",1
1.181,Адмиралтейский район,"Верейская улица, дом 23",3
1.182,Адмиралтейский район,"Верейская улица, дом 25, литера Б",1
1.183,Адмиралтейский район,"Верейская улица, дом 28, литера Б",1
1.184,Адмиралтейский район,"Верейская улица, дом 31, литера Б",1
1.185,Адмиралтейский район,"Верейская улица, дом 35",3
1.186,Адмиралтейский район,"Верейская улица, дом 47",6
1.187,Адмиралтейский район,"Витебская улица, дом 14",4
1.188,Адмиралтейский район,"Витебская улица, дом 2/7",5
1.189,Адмиралтейский район,"Витебская улица, дом 25",1
1.190,Адмиралтейский район,"Витебская улица, дом 5/6",9
1.191,Адмиралтейский район,"Витебская улица, дом 7",5
1.192,Адмиралтейский район,"Вознесенский проспект, дом 2",2
1.193,Адмиралтейский район,"Вознесенский проспект, дом 25",4
1.194,Адмиралтейский район,"Вознесенский проспект, дом 28",5
1.195,Адмиралтейский район,"Вознесенский проспект, дом 29",2
1.196,Адмиралтейский район,"Вознесенский проспект, дом 33",5
1.197,Адмиралтейский район,"Вознесенский проспект, дом 34, литера Б",8
1.198,Адмиралтейский район,"Вознесенский проспект, дом 3-5",12
1.199,Адмиралтейский район,"Вознесенский проспект, дом 37/6",3
1.200,Адмиралтейский район,"Вознесенский проспект, дом 38/4",3
1.201,Адмиралтейский район,"Вознесенский проспект, дом 45",3
1.202,Адмиралтейский район,"Вознесенский проспект, дом 51",5
1.203,Адмиралтейский район,"Галерная улица, дом 11",2
1.204,Адмиралтейский район,"Галерная улица, дом 16",1
1.205,Адмиралтейский район,"Галерная улица, дом 18",4
1.206,Адмиралтейский район,"Галерная улица, дом 19",11
1.207,Адмиралтейский район,"Галерная улица, дом 23",5
1.208,Адмиралтейский район,"Галерная улица, дом 25",3
1.209,Адмиралтейский район,"Галерная улица, дом 26",7
1.210,Адмиралтейский район,"Галерная улица, дом 28",1
1.211,Адмиралтейский район,"Галерная улица, дом 36-38",4
1.212,Адмиралтейский район,"Галерная улица, дом 55",2
